VTX, IDX, rawpos.x, rawpos.y, rawpos.z, rawcolor0.x, rawcolor0.y, rawcolor0.z, rawcolor0.w, rawtex0.x, rawtex0.y, rawtex1.x, rawtex1.y
127, 1151079, -6.1652, 3.70396, -1.10305, 0.69804, 0.69804, 0.69804, 1.00, 0.19815, 0.33822, 0.19815, 0.33822
128, 1151080, -7.54241, 6.27326, -0.47294, 0.69804, 0.69804, 0.69804, 0.00, 0.11747, 0.1975, 0.11747, 0.1975
129, 1151081, -7.50745, -0.65338, -1.92936, 0.69804, 0.69804, 0.69804, 1.00, 0.11951, 0.69935, 0.11951, 0.69935
130, 1151082, -9.54752, -0.967, -1.4432, 0.69804, 0.69804, 0.69804, 0.00, 0.00, 0.72534, 0.00, 0.72534
131, 1151083, -7.36151, -1.76965, -2.04613, 0.69804, 0.69804, 0.69804, 1.00, 0.12806, 0.79186, 0.12806, 0.79186
132, 1151084, -9.35853, -2.41257, -1.55769, 0.69804, 0.69804, 0.69804, 0.00, 0.01107, 0.84515, 0.01107, 0.84515
133, 1151085, -6.94562, -3.23649, -2.15261, 0.69804, 0.69804, 0.69804, 1.00, 0.15243, 0.91343, 0.15243, 0.91343
134, 1151086, -8.38696, -4.73151, -1.65931, 0.69804, 0.69804, 0.69804, 0.00, 0.06799, 1.00, 0.06799, 1.00
135, 1151087, -5.52241, -2.27978, -1.14348, 0.69804, 0.69804, 0.69804, 1.00, 0.2358, 0.83414, 0.2358, 0.83414
136, 1151088, -6.45546, -4.05189, -0.49393, 0.69804, 0.69804, 0.69804, 0.00, 0.18114, 0.94367, 0.18114, 0.94367
137, 1151089, -4.57536, -1.62527, -0.46293, 0.69804, 0.69804, 0.69804, 1.00, 0.29128, 0.7799, 0.29128, 0.7799
138, 1151090, -5.10114, -3.05377, 0.5728, 0.69804, 0.69804, 0.69804, 0.00, 0.27576, 0.84916, 0.27576, 0.84916
139, 1151091, -4.14835, -1.89788, -0.35093, 0.69804, 0.69804, 0.69804, 1.00, 0.3163, 0.80249, 0.3163, 0.80249
140, 1151092, -4.48818, -3.04279, 0.74162, 0.69804, 0.69804, 0.69804, 0.00, 0.31167, 0.84825, 0.31167, 0.84825
141, 1151093, -3.63245, -2.28132, -0.39664, 0.69804, 0.69804, 0.69804, 1.00, 0.34652, 0.83427, 0.34652, 0.83427
142, 1151094, -4.10889, -3.46977, 0.57946, 0.69804, 0.69804, 0.69804, 0.00, 0.33389, 0.88364, 0.33389, 0.88364
143, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
