VTX, IDX, rawpos.x, rawpos.y, rawpos.z, rawcolor0.x, rawcolor0.y, rawcolor0.z, rawcolor0.w, rawtex0.x, rawtex0.y
31, 1534237, 0.71119, -2.46478, 0.26679, 0.69804, 0.69804, 0.69804, 1.00, 0.64578, 0.8555
32, 1534238, 2.08913, 3.45157, -0.41544, 0.69804, 0.69804, 0.69804, 1.00, 0.75671, 0.35137
33, 1534239, 0.71119, -2.46478, 0.26679, 0.69804, 0.69804, 0.69804, 1.00, 0.64578, 0.8555
34, 1534240, 1.72021, -2.25066, 0.25427, 0.69804, 0.69804, 0.69804, 1.00, 0.72701, 0.83726
35, 1534241, 1.44502, -2.74009, 0.44526, 0.69804, 0.69804, 0.69804, 1.00, 0.70486, 0.87896
36, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
37, 1534242, 2.28214, 5.52197, 0.17049, 0.69804, 0.69804, 0.69804, 1.00, 0.77224, 0.17496
38, 1534243, 2.51446, 4.26111, -0.16066, 0.69804, 0.69804, 0.69804, 1.00, 0.79095, 0.28239
39, 1534244, 3.64146, 4.36771, 0.18262, 0.69804, 0.69804, 0.69804, 1.00, 0.88167, 0.27331
40, 1534245, 2.08913, 3.45157, -0.41544, 0.69804, 0.69804, 0.69804, 1.00, 0.75671, 0.35137
41, 1534246, 5.03252, 2.65061, 0.47338, 0.69804, 0.69804, 0.69804, 1.00, 0.99365, 0.41962
42, 1534247, 2.08913, 3.45157, -0.41544, 0.69804, 0.69804, 0.69804, 1.00, 0.75671, 0.35137
43, 1534248, 4.99859, 1.46066, 0.43298, 0.69804, 0.69804, 0.69804, 1.00, 0.99092, 0.52102
44, 1534249, 2.08913, 3.45157, -0.41544, 0.69804, 0.69804, 0.69804, 1.00, 0.75671, 0.35137
45, 1534250, 4.67389, 0.44901, 0.37236, 0.69804, 0.69804, 0.69804, 1.00, 0.96478, 0.60722
46, 1534251, 3.95406, -0.16545, 0.17186, 0.69804, 0.69804, 0.69804, 1.00, 0.90683, 0.65958
47, 1534252, 4.67389, 0.44901, 0.37236, 0.69804, 0.69804, 0.69804, 1.00, 0.96478, 0.60722
48, 1534253, 4.57638, 0.04504, 0.3954, 0.69804, 0.69804, 0.69804, 1.00, 0.95693, 0.64164
49, 1534254, 4.93588, 0.48643, 0.49231, 0.69804, 0.69804, 0.69804, 1.00, 0.98587, 0.60403
50, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
51, 1534255, 3.95406, -0.16545, 0.17186, 0.69804, 0.69804, 0.69804, 1.00, 0.90683, 0.65958
52, 1534256, 2.08913, 3.45157, -0.41544, 0.69804, 0.69804, 0.69804, 1.00, 0.75671, 0.35137
53, 1534257, 3.55472, -0.57931, 0.12037, 0.69804, 0.69804, 0.69804, 1.00, 0.87469, 0.69484
54, 1534258, 1.72021, -2.25066, 0.25427, 0.69804, 0.69804, 0.69804, 1.00, 0.72701, 0.83726
55, 1534259, 2.39289, -2.03653, 0.28323, 0.69804, 0.69804, 0.69804, 1.00, 0.78116, 0.81901
56, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
